Complexity,Loss,Equation
1,6.4175436e10,"618560.75"
3,6.4174936e10,"x0 + 618573.75"
4,6.3387898e10,"square(x0 + 786.6953)"
5,1.1269965e9,"(x0 * 251100.72) + 618574.4"
7,1.1269001e9,"(x0 + 2.4634736) * (x3 + 251097.86)"
8,1.0687343e9,"(x0 * 251142.2) + square(x3 + 786.50934)"
9,7.540446e8,"((x3 * 19320.709) + 618576.06) + (x0 * 251583.48)"
10,7.539838e8,"(x0 * 251582.7) + square(786.3973 - (x3 * -12.290299))"
11,3.931845e8,"((x0 * 249170.34) + 618576.0) + ((x3 + x4) * 19644.234)"
12,3.925852e8,"square(((x4 + x3) * -12.4960375) - 786.30554) + (x0 * 249137.3)"
13,1.7210725e8,"(x0 * 249872.19) + (((x3 + (x4 + x1)) * 18347.82) + 618576.06)"
14,1.7209778e8,"(x0 * 249861.3) + square(786.2519 - (((x3 + x4) + x1) * -11.660085))"
15,1.5817675e8,"(x0 * 249626.31) + (((((x4 + x3) / 0.7709129) + x1) * 15342.809) + 618577.2)"
16,1.5350987e8,"(x0 * 249929.38) + square((786.2543 - ((x4 + (x1 + x3)) * -11.630477)) + x2)"
17,1.27342456e8,"(((((x3 + x4) + x1) * 18146.273) + 618576.06) + (x2 * 6704.8105)) + (x0 * 250156.47)"
18,1.27069976e8,"square((((x1 + x3) + x4) * -11.53449) - 786.2522) + ((x2 * 6723.973) + (x0 * 250148.56))"
19,1.1246131e8,"((x2 * 6776.505) + (((((x3 + x4) / 0.76136047) + x1) * 15037.886) + 618576.0)) + (x0 * 249903.98)"
20,1.1212445e8,"(x0 * 249888.84) + (square((((x3 + x4) + (x1 / 1.3140624)) * -12.557162) - 786.2455) + (x2 * 6794.8857))"
